모에|01044521427|일본 나고야|20010111|일본인 친구|ㅁㅇ|20231101|1
이예진|01042345123|서울|20011125|친구|ㅇㅇㅈ|20231125|1
김홍걸|010251436584|부천|20010101|사촌|ㄱㅎㄱ|20231125|1
김진|01022153326|대구|20011125|군대동기|ㄱㅈ|20231125|0
김민지|01024353326|청주|20011125|아는동생|ㄱㅁㅈ|20231125|1
라이무|01033659542|일본 오사카|20020101|일본인 친구|ㄹㅇㅁ|20231125|0
장덕철|01033251426|서울|19950101|가수|ㅈㄷㅊ|20231125|0
김봉춘|01033268547|대전|20010101|아는형|ㄱㅂㅊ|20231125|1
김은희|01055369547|청주|20020101|아는동생|ㄱㅇㅎ|20231125|0
장덕춘|01033256966|부산|19890203|아는형님|ㅈㄷㅊ|20231125|0
김범진|01012345678|대구|20010111|대학교 친구|ㄱㅂㅈ|20231128|0
송재원|01012345689|청주|20011128|대학교 친구|ㅅㅈㅇ|20231128|0
임민규|01012345689|경기도|20010410|대학교 친구|ㅇㅁㄱ|20231128|1
이민주|01012356985|서울|20020101|아는동생|ㅇㅁㅈ|20231128|1
정용진|01012356985|청주|20011220|대학교 친구|ㅈㅇㅈ|20231128|0
소예촨|01022365485|서울|20010101|대학교 친구|ㅅㅇㅊ|20231128|0
소예찬|01011112222|청주|20010102|대학교 친구|ㅅㅇㅊ|20231128|0
한예찬|01033335678|서울|19990101|아는형님|ㅎㅇㅊ|20231128|0
장진우|01012345678|이천쌀|20011129|A|ㅈㅈㅇ|20231129|0
김민|01012345678|서울|20010202|친구|ㄱㅁ|20231129|0
